Lat,Long,Lat,Long
52.5370,13.3932,52.5250,13.3690
52.5370,13.3932,52.5250,13.3690
52.5370,13.3932,52.5250,13.3690
52.5370,13.3932,52.5117,13.3143
52.5250,13.3690,52.4630,13.3204
52.5250,13.3690,52.4934,13.3883
52.5250,13.3690,52.4262,13.5462
52.5250,13.3690,52.5294,13.3062
52.5250,13.3690,52.5010,13.3466
52.5250,13.3690,52.5010,13.3466
52.5250,13.3690,52.4998,13.3510
52.5250,13.3690,52.5262,13.3872
52.5250,13.3690,52.5262,13.3872
52.4592,13.4000,52.5264,13.3408
52.5117,13.3143,52.4939,13.3309
52.5117,13.3143,52.4939,13.3309
52.4630,13.3204,52.5169,13.4090
52.4934,13.3883,52.5103,13.3805
52.4262,13.5462,52.5103,13.3805
52.4560,13.3703,52.5636,13.3643
52.5060,13.3798,52.5141,13.3487
52.4894,13.5280,52.5141,13.3487
52.4894,13.5280,52.5141,13.3487
52.4700,13.3306,52.5140,13.4120
52.4700,13.3306,52.5126,13.3770
52.5010,13.3466,52.4470,13.5590
52.5010,13.3466,52.5203,13.3872
52.5010,13.3466,52.5203,13.3872
52.5010,13.3466,52.5203,13.3872
52.5670,13.3118,52.5203,13.3872
52.4998,13.3510,52.5203,13.3872
52.5143,13.4756,52.5126,13.3221
52.5143,13.4756,52.5415,13.5440
52.5143,13.4756,52.5104,13.3844
52.5143,13.4756,52.4965,13.2890
52.5143,13.4756,52.4930,13.2922
52.5143,13.4756,52.4930,13.2922
52.5262,13.3872,52.5129,13.4244
52.5262,13.3872,52.5029,13.4469
52.5262,13.3872,52.5029,13.4469
52.5262,13.3872,52.5029,13.4469
52.5264,13.3408,52.4923,13.3200
52.4124,13.3622,52.5110,13.3964
52.4939,13.3309,52.5110,13.3964
52.4939,13.3309,52.5121,13.4891
52.4939,13.3309,52.5121,13.4891
52.4939,13.3309,52.5404,13.4120
52.4939,13.3309,52.3152,13.6020
52.4939,13.3309,52.5172,13.3769
52.4939,13.3309,52.5172,13.3769
52.4939,13.3309,52.5172,13.3769
52.4939,13.3309,52.5062,13.3521
52.5169,13.4090,52.5062,13.3521
52.5169,13.4090,52.5075,13.3630
52.5169,13.4090,52.5148,13.4194
52.5103,13.3805,52.5148,13.4194
52.5103,13.3805,52.5193,13.4013
52.5103,13.3805,52.5412,13.2959
52.5636,13.3643,52.5517,13.4660
52.5636,13.3643,52.4630,13.4442
52.5141,13.3487,52.5110,13.2925
52.5141,13.3487,52.4907,13.3143
52.5141,13.3487,52.5546,13.2900
52.5141,13.3487,52.5400,13.4022
52.5141,13.3487,52.5400,13.4022
52.4920,13.3718,52.5010,13.4420
52.4950,13.3350,52.5291,13.4095
52.4950,13.3350,52.5108,13.4348
52.5140,13.4120,52.5108,13.4348
52.5126,13.3770,52.4703,13.3857
52.5126,13.3770,52.4703,13.3857
52.5126,13.3770,52.4703,13.3857
52.4520,13.4520,52.4703,13.3857
52.4520,13.4520,52.4703,13.3857
52.5203,13.3872,52.4760,13.3645
52.5203,13.3872,52.5490,13.3897
52.5203,13.3872,52.5480,13.2974
52.5203,13.3872,52.4783,13.3200
52.5203,13.3872,52.4787,13.3445
52.5203,13.3872,52.5019,13.3433
52.5203,13.3872,52.5304,13.4006
52.5203,13.3872,52.5057,13.3320
52.5203,13.3872,52.5344,13.1957
52.5126,13.3221,52.5305,13.3288
52.5126,13.3221,52.5091,13.3759
52.5126,13.3221,52.5091,13.3759
52.5126,13.3221,52.5091,13.3759
52.5126,13.3221,52.5091,13.3759
52.5126,13.3221,52.5091,13.3759
52.5126,13.3221,52.5050,13.3038
52.5537,13.2928,52.4940,13.3246
52.5537,13.2928,52.5223,13.3785
52.5537,13.2928,52.5223,13.3785
52.5537,13.2928,52.5223,13.3785
52.5415,13.5440,52.5223,13.3785
52.5104,13.3844,52.5223,13.3785
52.5104,13.3844,52.4989,13.3807
52.5104,13.3844,52.4989,13.3807
52.5104,13.3844,52.4989,13.3807
52.5104,13.3844,52.4990,13.3350
