Src,Dst,#
1,70,1
1,93,1
1,174,1
1,176,2
3,16,1
3,33,1
3,37,1
3,94,1
3,99,1
3,113,1
3,192,1
3,195,1
3,206,2
5,193,1
6,115,1
6,126,1
7,198,1
9,37,1
10,139,1
11,193,1
12,199,1
13,34,1
13,166,1
15,10,1
15,24,1
16,19,1
16,37,1
16,149,1
16,151,1
17,206,1
19,66,1
20,62,1
20,65,1
20,94,1
20,97,1
20,125,1
20,133,1
21,63,1
21,86,1
21,105,1
21,181,1
22,184,1
23,166,1
24,3,1
24,47,1
24,56,1
24,81,1
24,118,1
24,131,1
24,138,1
24,175,1
24,182,1
26,37,1
26,184,1
26,206,1
27,112,1
27,171,1
27,197,1
28,22,1
28,179,1
29,27,1
29,28,1
29,112,1
29,131,1
29,151,1
30,29,1
31,73,1
31,114,2
32,55,1
33,9,1
33,77,1
33,92,1
35,55,1
35,143,1
37,21,1
37,27,1
37,32,1
37,76,1
37,112,1
37,115,1
37,116,1
37,126,1
37,206,1
38,6,1
38,60,1
38,82,1
38,104,1
38,109,1
38,111,1
38,115,1
40,14,1
40,79,1
40,84,1
40,172,1
42,130,1
43,29,1
43,66,1
43,76,1
43,97,1
43,112,1
43,115,1
43,131,1
43,138,1
43,151,1
43,197,1
44,136,1
45,112,1
46,83,1
47,193,1
48,147,1
48,176,1
48,189,1
50,101,1
50,179,1
51,38,1
51,139,1
52,147,1
53,103,1
55,48,1
55,97,1
55,116,1
55,155,1
55,206,1
56,44,1
56,60,1
58,132,1
58,134,1
58,143,1
59,42,1
59,131,1
59,197,1
60,29,1
60,140,1
60,166,1
60,175,1
61,173,1
62,47,1
62,55,1
62,110,1
63,86,1
63,160,1
63,179,1
64,97,1
64,102,1
64,116,1
66,43,1
66,149,2
67,21,1
67,62,1
67,163,1
67,184,1
67,206,1
68,3,1
68,37,1
68,100,1
68,134,1
68,172,1
68,203,1
70,3,1
70,66,1
70,134,1
70,140,1
71,144,1
71,187,1
73,7,1
73,16,1
73,166,1
74,26,2
74,80,1
74,140,1
74,206,1
76,121,2
76,174,1
77,206,1
78,24,1
79,70,1
79,97,1
79,115,1
79,119,1
79,147,1
81,111,1
81,193,1
85,3,1
85,28,1
85,89,1
86,50,1
86,160,1
86,181,1
87,8,1
87,50,1
87,90,1
88,15,1
88,138,1
88,203,1
89,81,1
89,109,1
89,138,1
89,151,1
89,163,1
90,109,1
90,167,1
92,74,1
92,94,1
92,166,1
93,105,1
93,110,1
93,147,1
93,206,2
94,3,1
94,16,1
94,48,1
94,121,1
94,171,1
95,43,1
96,20,1
96,24,1
97,16,1
97,64,1
97,146,1
97,170,1
97,194,2
100,133,1
101,14,1
101,56,1
101,84,1
102,24,1
102,53,1
103,7,1
103,46,1
103,97,2
103,136,1
103,138,1
104,27,2
104,41,1
104,55,1
104,90,1
104,151,1
105,21,1
105,37,1
105,67,1
105,85,1
105,149,2
109,3,1
109,58,1
109,87,1
109,104,2
109,174,1
110,37,1
111,97,1
111,152,1
111,174,1
112,9,1
112,43,1
112,76,1
112,187,1
112,204,1
112,206,2
113,47,1
113,192,1
115,1,1
115,26,1
115,37,1
115,77,1
115,109,1
115,147,1
115,197,1
116,87,1
116,109,1
116,137,1
116,140,1
117,121,1
118,26,1
118,89,1
118,182,1
119,74,1
121,24,2
121,76,1
121,119,1
121,154,1
121,195,1
123,9,1
123,206,1
124,193,1
126,3,1
126,95,2
126,153,1
